rank,naslov,ocena,deli
453,Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,8.18,8
454,High School DxD,8.18,25
455,xxxHOLiC: Rei,8.18,4
456,Last Game,8.17,11
457,Mahouka Koukou no Rettousei,8.17,32
458,Can't See Can't Hear But Love,8.17,6
459,Nukozuke!,8.17,Ni končana
460,Cheese in the Trap Season 3,8.17,12
461,Fukigen na Mononokean,8.17,18
462,Tonikaku Kawaii,8.17,Ni končana
463,Sasayaku You ni Koi wo Utau,8.17,Ni končana
464,Yofukashi no Uta,8.17,20
465,Gimai Seikatsu,8.17,Ni končana
466,Ookiku Furikabutte,8.17,Ni končana
467,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.17,17
468,Hitsugikatsugi no Kuro.: Kaichu Tabi no Wa,8.17,7
469,Touhou Shinigami: Meteor Methuselah Gaiden,8.17,1
470,Pick Me Up,8.17,Ni končana
471,Shingeki no Kyojin: Kuinaki Sentaku,8.16,2
472,Helck,8.16,12
473,Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,8.16,1
474,Feng Shen Ji,8.16,Ni končana
475,Something About Us,8.16,5
476,Kimetsu no Yaiba,8.16,23
477,Doukyuusei: Gold Ring & Silver Ring,8.16,1
478,Uzumaki,8.16,3
479,Shingetsutan Tsukihime,8.16,10
480,Fushigi Yuugi: Genbu Kaiden,8.16,12
481,Sengoku Youko,8.16,17
482,Sora no Otoshimono,8.16,20
483,Zankoku na Kami ga Shihai suru,8.16,17
484,Yamada-kun to Lv999 no Koi wo Suru,8.16,Ni končana
485,Shin High School DxD,8.15,Ni končana
486,Ase to Sekken,8.15,11
487,Heesu in Class 2,8.15,4
488,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.15,3
489,Otouto no Otto,8.15,4
490,Hidamari ga Kikoeru,8.15,1
491,Kareshi Kanojo no Jijou,8.15,21
492,Sayonara Zetsubou Sensei,8.15,30
493,Emma,8.15,10
494,Shiawase Kissa 3-choume,8.15,15
495,Akagi: Yami ni Oritatta Tensai,8.15,36
496,Adolf ni Tsugu,8.15,4
497,Kimi to Boku.,8.15,17
498,Keishichou Tokuhanka 007,8.15,11
499,Yakusoku no Neverland,8.15,20
500,Getter Robo Saga,8.14,9
601,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-4 Shou - Seiiki to Gouyoku no Majo,8.09,Ni končana
602,Ao no Hako,8.09,Ni končana
603,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero,8.09,11
604,Hitoribocchi no ○○ Seikatsu,8.08,8
605,"Komi-san wa, Comyushou desu.",8.08,Ni končana
606,Karakai Jouzu no (Moto) Takagi-san,8.08,Ni končana
607,Runway de Waratte,8.08,22
608,Kindaichi Shounen no Jikenbo: File Series,8.08,27
609,Boku no Chikyuu wo Mamotte,8.08,21
610,Shijou Saikyou no Deshi Kenichi,8.08,61
611,Girl Friends,8.08,5
612,Ultra Heaven,8.08,3
613,Touhou Suzunaan: Forbidden Scrollery.,8.08,7
614,Navillera: Like a Butterfly,8.08,5
615,Rojica to Rakkasei,8.07,3
616,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,8.07,Ni končana
617,Anemone wa Netsu wo Obiru,8.07,Ni končana
618,Naruto,8.07,72
619,Beauty Pop,8.07,10
620,Ore to Akuma no Blues,8.07,Ni končana
621,Five Star Stories,8.07,Ni končana
622,Tobaku Datenroku Kaiji,8.07,13
623,Megumi no Daigo,8.07,20
624,D.Gray-man: Reverse,8.07,3
625,Getter Robo Go,8.07,7
626,One Piece: Strong World,8.07,Ni končana
627,Hotaru no Yomeiri,8.07,Ni končana
628,Orange,8.07,3
629,Cardcaptor Sakura: Clear Card-hen,8.07,16
630,Ran to Haiiro no Sekai,8.07,7
631,Mahou Shoujo Madoka★Magica,8.07,3
632,Kase-san Series,8.07,5
633,About Death,8.07,2
634,Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,8.07,3
635,"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",8.06,7
636,Baraou no Souretsu,8.06,17
637,Witch of Mine,8.06,4
638,Mystical,8.06,5
639,Wild Adapter,8.06,7
640,Gunslinger Girl,8.06,15
641,Gokusen,8.06,15
642,Shigurui,8.06,15
643,Shaman King Kanzenban,8.06,Ni končana
644,Koi dano Ai dano,8.06,11
645,Gangsta.,8.06,Ni končana
646,High Score Girl,8.06,10
647,Nogi Wakaba wa Yuusha de Aru,8.06,2
648,Kekkai Sensen: Back 2 Back,8.05,10
649,Suki na Ko ga Megane wo Wasureta,8.05,12
650,The Remarried Empress,8.05,Ni končana
651,Aishiteru Game wo Owarasetai,8.05,Ni končana
652,Super no Ura de Yani Suu Futari,8.05,Ni končana
653,Museru kurai no Ai wo Ageru,8.05,Ni končana
654,Tanaka-kun wa Itsumo Kedaruge,8.05,13
655,Pandora Hearts: Caucus Race,8.05,3
656,Hyouka,8.05,Ni končana
657,Dogs: Bullets & Carnage,8.05,10
658,Higurashi no Naku Koro ni: Tatarigoroshi-hen,8.05,2
659,Yamamoto Zenjirou to Moushimasu,8.05,5
660,Ashita no Ousama,8.05,10
661,Kingdom Hearts: 358/2 Days,8.05,5
662,Steins;Gate,8.05,3
663,Bokurano,8.04,11
664,Rough,8.04,12
665,Hotarubi no Mori e,8.04,1
666,Adekan,8.04,Ni končana
667,Saraiya Goyou,8.04,8
668,Saiyuuki Reload Blast,8.04,Ni končana
669,Nick to Lever,8.04,3
670,Mairimashita! Iruma-kun: If Episode of Mafia,8.04,Ni končana
671,Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,8.04,Ni končana
672,Shuumatsu no Walküre,8.04,Ni končana
673,Houkago Shounen Hanako-kun,8.04,Ni končana
674,Zense Coupling,8.04,7
675,Unmei no Hito ni Deau Hanashi,8.04,Ni končana
676,Gabai: Saga no Gabai Baachan,8.04,11
677,Ouran Koukou Host Club Short Special,8.04,Ni končana
678,Zoku Hoshi Mamoru Inu,8.04,1
679,Yamada-kun to 7-nin no Majo,8.04,28
680,Medaka Box Gaiden: Good Loser Kumagawa,8.04,2
681,Gakkougurashi!,8.04,12
682,Fate/stay night: Heaven's Feel,8.04,Ni končana
683,Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,8.03,2
684,Nekota no Koto ga Kininatte Shikatanai.,8.03,10
685,Full Moon wo Sagashite,8.03,7
686,Devilman,8.03,5
687,Vassalord.,8.03,7
688,Chichi no Koyomi,8.03,1
689,Oboreru Knife,8.03,17
690,Konjiki no Gash!! 2,8.03,Ni končana
691,The Legend of the Sun Knight,8.03,8
692,Byousoku 5 Centimeter,8.03,1
693,Ghost Hunt: Akumu no Sumu Ie,8.03,3
694,Kubera,8.03,Ni končana
695,Saenai Heroine no Sodatekata,8.03,13
696,Watashi no Shiawase na Kekkon,8.03,Ni končana
697,King's Maker: Triple Crown,8.03,Ni končana
698,Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,8.02,Ni končana
699,Restart wa Onaka wo Sukasete,8.02,1
700,Vampire Juujikai,8.02,9
751,Shigeshoushi,7.99,7
752,Id,7.99,29
753,Kingyosou,7.99,2
754,Golden Days,7.99,8
